"";"x"
"1";0
"2";0,624131166501985
"3";0
"4";0
"5";0
"6";0
"7";0
"8";0
"9";0,305425890063479
"10";0
"11";0
"12";0
"13";0
"14";0
"15";0
"16";0
"17";0
"18";0
"19";0
"20";7,4643261898272
"21";0
"22";0
"23";0
"24";0
"25";0
"26";0
"27";0
"28";0
"29";0
"30";0
"31";0
"32";0
"33";18,7607937455723
"34";18,0226213663955
"35";0
"36";7,67067090452472
"37";0
"38";0
"39";0
"40";249,911840140134
"41";0,0138210286561378
"42";0
"43";89,2423820519745
"44";162,880822708021
"45";0
"46";0
"47";0
"48";0
"49";0
"50";0
"51";0
"52";0
"53";0
"54";0
"55";0
"56";0
"57";0
"58";0
"59";0
"60";0
"61";0
"62";0
"63";0
"64";0
"65";0
"66";0
"67";2,78523721181939
"68";0
"69";0
"70";0
"71";0,363238818743532
"72";0
"73";0
"74";0
"75";0
"76";0
"77";0
"78";0
"79";0
"80";0
"81";0
"82";0
"83";0
"84";0
"85";0
"86";0
"87";0
"88";0
"89";0
"90";0
"91";0,602009215528474
"92";6,15901735944791
"93";7,70403402638727
"94";60,0535766372743
"95";0
"96";0
"97";0
"98";0
"99";0
"100";0
"101";0
"102";0
"103";0
"104";0
"105";0
"106";0
"107";0
"108";0
"109";0
"110";0
"111";90,8778789121995
"112";0,570829287523436
"113";0
"114";0
"115";0
"116";0
"117";0,503716530992841
"118";0,095068887425154
"119";0
"120";0
"121";0
"122";0
"123";0
"124";0
"125";0
"126";0
"127";142,446032714744
"128";0
"129";0
"130";0
"131";0
"132";0
"133";0
"134";0
"135";0
"136";0
"137";0
"138";0
"139";0
"140";417,336273534894
"141";0
"142";0
"143";0
"144";0
"145";0
"146";0
"147";0,793964763795427
"148";1,1909471456197
"149";0,396982381790901
"150";483,505044421162
"151";0
"152";0
"153";0
"154";0
"155";0
"156";0
"157";0
"158";0
"159";0
"160";0
"161";0
"162";0
"163";471,302470628036
"164";0
"165";0
"166";0
"167";1036,26177928576
"168";0
"169";0
"170";0
"171";0
"172";0
"173";590,040366748865
"174";294,819245631273
"175";0
"176";0
"177";0
"178";0
"179";0
"180";0
"181";0
"182";4,35027971650076
"183";0
"184";0
"185";0
"186";0
"187";0
"188";0
"189";0
"190";0
"191";0
"192";0
"193";0
"194";0
"195";0
"196";0
"197";0
"198";0
"199";0
"200";0
"201";0
"202";0
"203";0
"204";0
"205";0
