"";"x"
"1";0
"2";0,823917483201848
"3";0
"4";0
"5";0
"6";0
"7";0
"8";0
"9";0,403193662088953
"10";0
"11";0
"12";0
"13";0
"14";0
"15";0
"16";0
"17";0
"18";0
"19";0
"20";7,76119821913964
"21";0
"22";0
"23";0
"24";0
"25";0
"26";0
"27";0
"28";0
"29";0
"30";0
"31";0
"32";0
"33";24,4851124460158
"34";23,5217079145337
"35";0
"36";10,0111563604816
"37";0
"38";0
"39";0
"40";326,165277994492
"41";0,0180381195675694
"42";0
"43";116,472138072975
"44";212,579239097851
"45";0
"46";0
"47";0
"48";0
"49";0
"50";0
"51";0
"52";0
"53";0
"54";0
"55";0
"56";0
"57";0
"58";0
"59";0
"60";0
"61";0
"62";0
"63";0
"64";0
"65";0
"66";0
"67";3,67680025745849
"68";0
"69";0
"70";0
"71";0,377685594313497
"72";0
"73";0
"74";0
"75";0
"76";0
"77";0
"78";0
"79";0
"80";0
"81";0
"82";0
"83";0
"84";0
"85";0
"86";0
"87";0
"88";0
"89";0
"90";0
"91";0,625952394448267
"92";6,40397449765039
"93";8,01043974301078
"94";62,4420343105302
"95";0
"96";0
"97";0
"98";0
"99";0
"100";0
"101";0
"102";0
"103";0
"104";0
"105";0
"106";0
"107";0
"108";0
"109";0
"110";0
"111";96,5722131694964
"112";0,606596988155551
"113";0
"114";0
"115";0
"116";0
"117";0,571149343445476
"118";0,107795812315201
"119";0
"120";0
"121";0
"122";0
"123";0
"124";0
"125";0
"126";0
"127";168,734033646759
"128";0
"129";0
"130";0
"131";0
"132";0
"133";0
"134";0
"135";0
"136";0
"137";0
"138";0
"139";0
"140";469,374104488171
"141";0
"142";0
"143";0
"144";0
"145";0
"146";0
"147";0,81238147223398
"148";1,21857220827583
"149";0,4061907360077
"150";494,720367616498
"151";0
"152";0
"153";0
"154";0
"155";0
"156";0
"157";0
"158";0
"159";0
"160";0
"161";0
"162";0
"163";542,973590668497
"164";0
"165";0
"166";0
"167";1193,84644519588
"168";0
"169";0
"170";0
"171";0
"172";0
"173";679,767997282233
"174";339,652504229982
"175";0
"176";0
"177";0
"178";0
"179";0
"180";0
"181";0
"182";4,45118826662577
"183";0
"184";0
"185";0
"186";0
"187";0
"188";0
"189";0
"190";0
"191";0
"192";0
"193";0
"194";0
"195";0
"196";0
"197";0
"198";0
"199";0
"200";0
"201";0
"202";0
"203";0
"204";0
"205";0
"206";0
"207";0
"208";0
"209";0
"210";0
"211";0
"212";0
"213";0
"214";0
"215";0
"216";0
"217";0
"218";0
"219";0
"220";0
"221";0
"222";0
"223";0
"224";0
"225";0
"226";0
"227";0
"228";0
"229";0
"230";0
"231";0
"232";0
"233";0
"234";0
"235";0
"236";0
"237";0
"238";0
"239";0
"240";0
"241";0
"242";0
"243";0
"244";0
"245";0
"246";0
"247";0
"248";0
"249";0
"250";0
"251";0
"252";0
"253";0
"254";0
"255";0
"256";0
"257";0
"258";0
"259";0
"260";0
"261";0,0175301592156572
"262";25,3486102278696
"263";0
"264";0
"265";0
"266";0
"267";0
"268";0
"269";0
"270";0
"271";0
"272";0
"273";0
"274";0
"275";0
"276";0
"277";0
"278";0
"279";0
"280";0
"281";0
"282";0
"283";0
"284";0
"285";0
"286";0
"287";0
"288";0
"289";2,99558245943532
"290";0
"291";2389,42441675916
"292";0
"293";800,40904008907
"294";77,9607527658088
"295";0
"296";0
"297";58,136859368753
"298";0
"299";0
"300";60,6802342204109
"301";0
"302";0
"303";0
"304";1867,70297621295
"305";0
"306";0
"307";0
"308";0
"309";0
"310";0
"311";0
"312";59,7660305935845
"313";0
"314";0
"315";0
"316";0
"317";0
"318";0
"319";0
"320";0
"321";0
