"";"X";"ISO";"country";"group";"com_code";"com_name";"com_group";"harvest_production";"storage_transport";"processing";"distribution";"final_consumption"
"1";1;"ARM";"Armenia";"Europe";"c001";"Rice (Milled Equivalent)";"Cereals";3;6;10;1,5;18,75
"2";2;"ARM";"Armenia";"Europe";"c002";"Wheat and products";"Cereals";3;6;10;1,5;18,75
"3";3;"ARM";"Armenia";"Europe";"c003";"Barley and products";"Cereals";3;6;10;1,5;18,75
"4";4;"ARM";"Armenia";"Europe";"c004";"Maize and products";"Cereals";3;6;10;1,5;18,75
"5";5;"ARM";"Armenia";"Europe";"c005";"Rye and products";"Cereals";3;6;10;1,5;18,75
"6";6;"ARM";"Armenia";"Europe";"c006";"Oats";"Cereals";3;6;10;1,5;18,75
"7";7;"ARM";"Armenia";"Europe";"c007";"Millet and products";"Cereals";3;6;10;1,5;18,75
"8";8;"ARM";"Armenia";"Europe";"c008";"Sorghum and products";"Cereals";3;6;10;1,5;18,75
"9";9;"ARM";"Armenia";"Europe";"c009";"Cereals, Other";"Cereals";3;6;10;1,5;18,75
"10";10;"ARM";"Armenia";"Europe";"c010";"Potatoes and products";"Roots and tubers";30;13,5;22,5;5,25;12,75
"11";11;"ARM";"Armenia";"Europe";"c011";"Cassava and products";"Roots and tubers";30;13,5;22,5;5,25;12,75
"12";12;"ARM";"Armenia";"Europe";"c012";"Sweet potatoes";"Roots and tubers";30;13,5;22,5;5,25;12,75
"13";13;"ARM";"Armenia";"Europe";"c013";"Roots, Other";"Roots and tubers";30;13,5;22,5;5,25;12,75
"14";14;"ARM";"Armenia";"Europe";"c014";"Yams";"Roots and tubers";30;13,5;22,5;5,25;12,75
"15";15;"ARM";"Armenia";"Europe";"c015";"Sugar cane";"Sugar crops";3;6;0,75;1,5;18,75
"16";16;"ARM";"Armenia";"Europe";"c016";"Sugar beet";"Sugar crops";30;13,5;22,5;5,25;12,75
"17";17;"ARM";"Armenia";"Europe";"c017";"Beans";"Vegetables, fruit, nuts, pulses, spices";15;1,5;7,5;0,75;3
"18";18;"ARM";"Armenia";"Europe";"c018";"Peas";"Vegetables, fruit, nuts, pulses, spices";15;1,5;7,5;0,75;3
"19";19;"ARM";"Armenia";"Europe";"c019";"Pulses, Other and products";"Vegetables, fruit, nuts, pulses, spices";15;1,5;7,5;0,75;3
"20";20;"ARM";"Armenia";"Europe";"c020";"Nuts and products";"Vegetables, fruit, nuts, pulses, spices";15;1,5;7,5;0,75;3
"21";21;"ARM";"Armenia";"Europe";"c021";"Soyabeans";"Oil crops";15;1,5;7,5;0,75;3
"22";22;"ARM";"Armenia";"Europe";"c022";"Groundnuts (Shelled Eq)";"Oil crops";15;1,5;7,5;0,75;3
"23";23;"ARM";"Armenia";"Europe";"c023";"Sunflower seed";"Oil crops";15;1,5;7,5;0,75;3
"24";24;"ARM";"Armenia";"Europe";"c024";"Rape and Mustardseed";"Oil crops";15;1,5;7,5;0,75;3
"25";25;"ARM";"Armenia";"Europe";"c025";"Seed cotton";"Oil crops";15;1,5;7,5;0,75;3
"26";26;"ARM";"Armenia";"Europe";"c026";"Coconuts - Incl Copra";"Oil crops";15;1,5;7,5;0,75;3
"27";27;"ARM";"Armenia";"Europe";"c027";"Sesame seed";"Oil crops";15;1,5;7,5;0,75;3
"28";28;"ARM";"Armenia";"Europe";"c028";"Oil, palm fruit";"Oil crops";15;1,5;7,5;0,75;3
