"";"product";"Item_code";"dietgroup";"SQ_g";"SQ_kcal";"SQ_prot";"SQ_fat";"DGErec_g";"DGErec_kcal";"DGErec_prot";"DGErec_fat";"kcal_data";"prot_data";"fat_data"
"1";"Rice (Milled Equivalent)";"2805";"Cereals and potatoes";7,0592545441031;25,4133163587711;0,472970054454907;0,0494147818087217;9,93784557940137;35,776244085845;0,665835653819892;0,0695649190558096;3,6;0,067;0,007
"2";"Wheat and products";"2511";"Cereals and potatoes";164,702466512003;550,106238150091;20,0937009144644;3,78815672977608;231,864096770685;774,426083214086;28,2874198060235;5,33287422572575;3,34;0,122;0,023
"3";"Barley and products";"2513";"Cereals and potatoes";0,600904860908827;1,9950041382173;0,0660995346999709;0,0108162874963589;0,845939139652076;2,80851794364489;0,0930533053617284;0,0152269045137374;3,32;0,11;0,018
"4";"Maize and products";"2514";"Cereals and potatoes";23,9538289055002;85,2756309035808;2,27561374602252;1,03001464293651;33,7216134098912;120,048943739213;3,20355327393966;1,45002937662532;3,56;0,095;0,043
"5";"Rye and products";"2515";"Cereals and potatoes";18,9229680188732;60,3642679802055;2,08152648207605;0,359536392358591;26,6392907212281;84,9793374007175;2,93032197933509;0,506146523703333;3,19;0,11;0,019
"6";"Oats";"2516";"Cereals and potatoes";3,03493196129906;11,6844880510014;0,394541154968878;0,22761989709743;4,27250285238324;16,4491359816755;0,555425370809821;0,320437713928743;3,85;0,13;0,075
"7";"Millet and products";"2517";"Cereals and potatoes";0,24016026221044;0,816544891515496;0,0232955454344127;0,0072048078663132;0,338091732667381;1,14951189106909;0,0327948980687359;0,0101427519800214;3,4;0,097;0,03
"8";"Sorghum and products";"2518";"Cereals and potatoes";0;0;0;0;0;0;0;0;3,43;0,101;0,033
"9";"Cereals. Other";"2520";"Cereals and potatoes";1,33608839863662;4,54270055536451;0,10688707189093;0,0200413259795493;1,880912510397;6,39510253534981;0,15047300083176;0,0282136876559551;3,4;0,08;0,015
"10";"Potatoes and products";"2531";"Cereals and potatoes";103,163138325648;69,1193026781843;1,65061021321037;0,103163138325648;145,230538403396;97,3044607302755;2,32368861445434;0,145230538403396;0,67;0,016;0,001
"11";"Cassava and products";"2532";"Cereals and potatoes";0;0;0;0;0;0;0;0;1,09;0,009;0,002
"12";"Sweet potatoes";"2533";"Cereals and potatoes";0;0;0;0;0;0;0;0;0,92;0,007;0,002
"13";"Roots. Other";"2534";"Cereals and potatoes";0,000587689004906046;0,000534796994464502;9,40302407849673e-06;1,17537800981209e-06;0,000827334181389882;0,000752874105064793;1,32373469022381e-05;1,65466836277976e-06;0,91;0,016;0,002
"14";"Yams";"2535";"Cereals and potatoes";0;0;0;0;0;0;0;0;1,01;0,013;0,002
"17";"Beans";"2546";"vegetables incl. legumes";0,237910027789093;0,811273194760808;0,0525781161413896;0,00404447047241458;0,455496694818885;1,5532437293324;0,100664769554973;0,00774344381192104;3,41;0,221;0,017
"18";"Peas";"2547";"vegetables incl. legumes";1,1502103379346;3,97972776925372;0,258797326035285;0,0207037860828228;2,20216445748212;7,61948902288812;0,495487002933476;0,0396389602346781;3,46;0,225;0,018
"19";"Pulses. Other and products";"2549";"vegetables incl. legumes";0,422024822529734;1,4348843966011;0,0928454609565416;0,00844049645059469;0,807998357951657;2,74719441703563;0,177759638749365;0,0161599671590331;3,4;0,22;0,02
"20";"Nuts and products";"2551";"vegetables incl. legumes";16,3458832905163;42,8262142211527;1,14421183033614;4,08647082262907;31,2954266027232;81,9940176991348;2,19067986219062;7,8238566506808;2,62;0,07;0,25
"21";"Soyabeans";"2555";"vegetables incl. legumes";2,18098015770393;7,30628352830816;0,828772459927493;0,392576428386707;4,17565103300472;13,9884309605658;1,58674739254179;0,75161718594085;3,35;0,38;0,18
"22";"Groundnuts (Shelled Eq)";"2556";"vegetables incl. legumes";3,14577349356289;17,8365357085016;0,808463787845662;1,54772055883294;6,02282065317989;34,14939310353;1,54786490786723;2,96322776136451;5,67;0,257;0,492
"23";"Sunflower seed";"2557";"vegetables incl. legumes";0;0;0;0;0;0;0;0;3,08;0,123;0,268
"24";"Rape and Mustardseed";"2558";"vegetables incl. legumes";0,70913010458708;3,50310271666018;0,138989500499068;0,319108547064186;1,35768307808501;6,70695440573993;0,266105883304661;0,610957385138252;4,94;0,196;0,45
"25";"Seed cotton";"328";"vegetables incl. legumes";0;0;0;0;0;0;0;0;2,53;0,173;0,179
"26";"Coconuts - Incl Copra";"2560";"vegetables incl. legumes";1,26912512348014;2,33519022720346;0,0215751270991624;0,220827771485545;2,42983578468278;4,47089784381632;0,0413072083396073;0,422791426534804;1,84;0,017;0,174
"27";"Sesame seed";"2561";"vegetables incl. legumes";0;0;0;0;0;0;0;0;5,73;0,177;0,497
"28";"Oil. palm fruit";"254";"vegetables incl. legumes";0;0;0;0;0;0;0;0;1,58;0,003;0,132
"29";"Olives (including preserved)";"2563";"vegetables incl. legumes";1,98491118074022;3,47359456629539;0,0258038453496229;0,347359456629539;3,8002621862485;6,65045882593488;0,0494034084212306;0,665045882593488;1,75;0,013;0,175
"30";"Oilcrops. Other";"2570";"vegetables incl. legumes";0,276978979474299;1,07190865056554;0,0407159099827219;0,0878023364933527;0,530297149965844;2,05224997036782;0,077953681044979;0,168104196539173;3,87;0,147;0,317
"31";"Tomatoes and products";"2601";"vegetables incl. legumes";36,1529345254504;6,14599886932656;0,289223476203603;0,0723058690509007;69,217520326401;11,7669784554882;0,553740162611208;0,138435040652802;0,17;0,008;0,002
"32";"Onions";"2602";"vegetables incl. legumes";11,4680388376447;3,55509203966985;0,126148427214092;0,0229360776752894;21,9564254400933;6,80649188642894;0,241520679841027;0,0439128508801867;0,31;0,011;0,002
"33";"Vegetables. Other";"2605";"vegetables incl. legumes";128,581623153165;28,2879570936962;1,80014272414431;0,257163246306329;246,179217013227;54,1594277429098;3,44650903818517;0,492358434026453;0,22;0,014;0,002
"34";"Oranges. Mandarines";"2611";"Fruits";29,1945003604173;9,92613012254187;0,204361502522921;0,0291945003604173;45,8783610250837;15,5986427485285;0,321148527175586;0,0458783610250837;0,34;0,007;0,001
"35";"Lemons. Limes and products";"2612";"Fruits";2,84569155435679;0,426853733153519;0,0170741493261407;0,00569138310871358;4,47192666033167;0,67078899904975;0,02683155996199;0,00894385332066333;0,15;0,006;0,002
