"","product","Item_code","dietgroup","SQ_g","SQ_kcal","SQ_prot","SQ_fat","DGErec_g","DGErec_kcal","DGErec_prot","DGErec_fat","kcal_data","prot_data","fat_data"
"1","Rice (Milled Equivalent)","2805","Cereals and potatoes",7.05926088534913,25.4133391872569,0.472970479318392,0.0494148261974439,9.86480050665659,35.5132818239637,0.660941633945991,0.0690536035465961,3.6,0.067,0.007
"2","Wheat and products","2511","Cereals and potatoes",159.420938668252,532.465935151962,19.4493545175267,3.6666815893698,222.779095728017,744.082179731577,27.1790496788181,5.12391920174439,3.34,0.122,0.023
"3","Barley and products","2513","Cereals and potatoes",0.580357104202262,1.92678558595151,0.0638392814622488,0.0104464278756407,0.811006583912797,2.69254185859048,0.0892107242304076,0.0145981185104303,3.32,0.11,0.018
"4","Maize and products","2514","Cereals and potatoes",23.3557003945602,83.1462934046343,2.21879153748322,1.00429511696609,32.6378821844862,116.190860576771,3.10059880752619,1.40342893393291,3.56,0.095,0.043
"5","Rye and products","2515","Cereals and potatoes",18.2751958010389,58.297874605314,2.01027153811428,0.347228720219738,25.5382487947845,81.4670136553624,2.80920736742629,0.485226727100905,3.19,0.11,0.019
"6","Oats","2516","Cereals and potatoes",2.95676381360763,11.3835406823894,0.384379295768992,0.221757286020572,4.13186106028122,15.9076650820827,0.537141937836559,0.309889579521092,3.85,0.13,0.075
"7","Millet and products","2517","Cereals and potatoes",0.240160474614309,0.81654561368865,0.023295566037588,0.00720481423842927,0.33560668887745,1.14106274218333,0.0325538488211127,0.0100682006663235,3.4,0.097,0.03
"8","Sorghum and products","2518","Cereals and potatoes",0,0,0,0,0,0,0,0,3.43,0.101,0.033
"9","Cereals. Other","2520","Cereals and potatoes",1.28915310443664,4.38312055508459,0.103132248354932,0.0193372965665497,1.80149712616487,6.12509022896055,0.144119770093189,0.027022456892473,3.4,0.08,0.015
"10","Potatoes and products","2531","Cereals and potatoes",110.859097963004,74.2755956352129,1.77374556740807,0.110859097963004,154.917476987231,103.794709581445,2.4786796317957,0.154917476987231,0.67,0.016,0.001
"11","Cassava and products","2532","Cereals and potatoes",0,0,0,0,0,0,0,0,1.09,0.009,0.002
"12","Sweet potatoes","2533","Cereals and potatoes",0,0,0,0,0,0,0,0,0.92,0.007,0.002
"13","Roots. Other","2534","Cereals and potatoes",0.000587765950564124,0.000534867015013352,9.40425520902598e-06,1.17553190112825e-06,0.000821359904541011,0.00074743751313232,1.31417584726562e-05,1.64271980908202e-06,0.91,0.016,0.002
"14","Yams","2535","Cereals and potatoes",0,0,0,0,0,0,0,0,1.01,0.013,0.002
"17","Beans","2546","vegetables incl. legumes",0.237910262087345,0.811273993717845,0.0525781679213032,0.00404447445548486,0.459638548434485,1.56736745016159,0.101580119204021,0.00781385532338625,3.41,0.221,0.017
