"";"chain_type";"flow";"storage_transport";"processing";"distribution";"Consumption"
"1";"Cereals";"cont";1337430,46040917;1177887,996029;1058276,65786659;694248,222161807
"2";"Cereals";"waste";63776,9760010189;159542,464380167;119611,338162406;364028,435704787
"3";"Potatoes & roots";"cont";152706,43709939;143705,029145939;132267,893353608;82535,1971191275
"4";"Potatoes & roots";"waste";14298,1357002379;9001,40795345022;11437,1357923313;49732,6962344805
"5";"Vegetables";"cont";290881,681287448;272806,978671101;243001,554926875;177702,908375018
"6";"Vegetables";"waste";26657,93976689;18074,7026163464;29805,4237442265;65298,6465518561
"7";"Fruits";"cont";357863,643913416;329447,133374297;283617,448291842;204108,90225476
"8";"Fruits";"waste";40590,6417855186;28416,5105391192;45829,6850824551;79508,5460370817
"9";"Pulses, beans & nuts";"cont";533200,123606717;477723,905300964;466015,425404443;448906,115352994
"10";"Pulses, beans & nuts";"waste";47640,140955757;55476,2183057533;11708,479896521;17109,3100514492
"11";"Vegetable oils";"cont";615551,216679253;592490,225869578;583024,636540392;494302,168048625
"12";"Vegetable oils";"waste";5807,2627050836;23060,9908096752;9465,58932918648;88722,4684917673
"13";"Milk & products";"cont";645853,993681027;632233,640595999;618884,661892322;509747,314186675
"14";"Milk & products";"waste";6959,04821438229;13620,3530850281;13348,9787036769;109137,347705647
"15";"Eggs";"cont";359802,184287446;346831,208792519;337691,862595237;276152,883822768
"16";"Eggs";"waste";18081,7778523806;12970,9754949267;9139,34619728202;61538,9787724685
"17";"Fish";"cont";0;0;0;0
"18";"Fish";"waste";0;0;0;0
"19";"Meat";"cont";12260781,0611363;12114651,0459054;11675531,6284415;9036829,07891851
"20";"Meat";"waste";343038,250615028;146130,015230934;439119,417463944;2638702,54952294
"21";"Sugar & Alcohol";"cont";943525,283211548;890408,988221303;856022,921956522;739862,724464142
"22";"Sugar & Alcohol";"waste";1630,91220690281;53116,2949902453;34386,0662647802;116160,19749238
