"";"chain_type";"flow";"storage_transport";"processing";"distribution";"Consumption"
"1";"Cereals";"cont";186526500,207016;171095478,005436;165265796,277479;124098027,197985
"2";"Cereals";"waste";15013728,9715727;15431022,2015801;5829681,72795696;41167769,0794944
"3";"Potatoes & roots";"cont";52244181,8043218;48746138,6263044;44983223,6290069;28822176,9633301
"4";"Potatoes & roots";"waste";5178976,73791466;3498043,17801741;3762914,99729751;16161046,6656768
"5";"Vegetables";"cont";248142627,072116;229835107,37476;201854432,742762;151917596,194699
"6";"Vegetables";"waste";24272912,3854916;18307519,6973554;27980674,6319979;49936836,5480627
"7";"Fruits";"cont";476198664,117462;418834328,788751;350125345,105833;259489990,473277
"8";"Fruits";"waste";53011136,9686326;57364335,328711;68708983,6829182;90635354,632556
"9";"Pulses, beans & nuts";"cont";461017572,06483;416518903,787438;407360564,121352;389488530,017625
"10";"Pulses, beans & nuts";"waste";30341177,4934136;44498668,2773914;9158339,66608679;17872034,1037268
"11";"Vegetable oils";"cont";106165848,196869;100303857,704194;98728155,1666297;87820692,26189
"12";"Vegetable oils";"waste";542590,888050257;5861990,49267535;1575702,53756418;10907462,9047397
"13";"Milk & products";"cont";54493045,2561512;53311404,008959;51369489,6537905;44183852,8354309
"14";"Milk & products";"waste";1260503,48252396;1181641,24719214;1941914,35516859;7185636,8183596
"15";"Eggs";"cont";32440561,4887997;31586630,1340949;30680594,8189703;25904193,0938613
"16";"Eggs";"waste";1098913,32659143;853931,354704792;906035,315124669;4776401,72510901
"17";"Fish";"cont";0;0;0;0
"18";"Fish";"waste";0;0;0;0
"19";"Meat";"cont";3110216494,52625;2908872846,32898;2708648437,03833;2355812621,52322
"20";"Meat";"waste";29200076,1164612;201343648,19727;200224409,290645;352835815,515108
"21";"Sugar & Alcohol";"cont";326375630,306322;305142554,096991;295758493,710788;265085724,037276
"22";"Sugar & Alcohol";"waste";307879,250088336;21233076,2093304;9384060,38620348;30672769,6735117
