;chain_type;flow;storage_transport;processing;distribution;consumption
1;Cereals;cont;13053915.52;12581594.11;11941712.64;9174319.278
2;Cereals;waste;384349.1079;472321.4181;639881.4669;2767393.361
3;Potatoes & roots;cont;7003358.971;6707208.588;6347673.901;4770963.201
4;Potatoes & roots;waste;429918.9627;296150.3836;359534.6871;1576710.7
5;Vegetables;cont;14963674.47;14546171.05;13342830.34;10544136.7
6;Vegetables;waste;827701.7269;417503.4185;1203340.705;2798693.644
7;Fruits;cont;11299397.49;10734439.9;9729032.686;7902326.738
8;Fruits;waste;798856.4791;564957.5914;1005407.214;1826705.948
9;Pulses, beans & nuts;cont;1717686.897;1615086.111;1593808.874;1541774.784
10;Pulses, beans & nuts;waste;52961.98868;102600.7859;21277.23638;52034.0906
11;Vegetable oils;cont;1074963.936;1049642.564;1038235.88;929685.4986
12;Vegetable oils;waste;7242.514401;25321.37216;11406.68397;108550.3816
13;Milk & products;cont;24872161.07;24518757.99;24182588.99;21155311.2
14;Milk & products;waste;155352.5817;353403.0841;336169.0026;3027277.785
15;Eggs;cont;973937.573;948176.0722;931998.0901;812569.9422
16;Eggs;waste;35590.37703;25761.50078;16177.98205;119428.1479
17;Fish;cont;414264.6945;387020.2142;347740.2858;310055.3321
18;Fish;waste;10881.27939;27244.4803;39279.92838;37684.95375
19;Meat;cont;3182156.361;3144175.969;3063903.826;2611241.156
20;Meat;waste;57164.62747;37980.39205;80272.14299;452662.6696
21;Sugar & Alcohol;cont;5917776.403;5674622.569;5550574.691;5133208.059
22;Sugar & Alcohol;waste;5245.102878;243153.8331;124047.8783;417366.6326
