;chain_type;flow;storage_transport;processing;distribution;consumption
1;Cereals;cont;8928570.724;8605514;8167850.149;6275018.278
2;Cereals;waste;262885.7362;323056.7241;437663.8505;1892831.871
3;Potatoes & roots;cont;4790132.567;4587572.68;4341659.423;3263226.445
4;Potatoes & roots;waste;294054.4434;202559.8863;245913.2569;1078432.978
5;Vegetables;cont;7402956.586;7196405.736;6601078.765;5216485.188
6;Vegetables;waste;409487.6538;206550.8501;595326.9713;1384593.576
7;Fruits;cont;6834883.961;6493147.193;5884987.188;4780032.415
8;Fruits;waste;483219.6885;341736.7681;608160.0058;1104954.773
9;Pulses, beans & nuts;cont;849788.7035;799029.1681;788502.7123;762759.9635
10;Pulses, beans & nuts;waste;26201.8065;50759.53542;10526.45576;25742.74885
11;Vegetable oils;cont;1599904.207;1562217.576;1545240.633;1383681.527
12;Vegetable oils;waste;10779.27256;37686.6316;16976.94319;161559.1058
13;Milk & products;cont;21691161.46;21382956.5;21089781.49;18449674.3
14;Milk & products;waste;135483.9221;308204.958;293175.0117;2640107.188
15;Eggs;cont;973937.573;948176.0722;931998.0901;812569.9422
16;Eggs;waste;35590.37703;25761.50078;16177.98205;119428.1479
17;Fish;cont;1012075.314;945515.295;849551.9016;757485.1339
18;Fish;waste;26583.66596;66560.01903;95963.3934;92066.7677
19;Meat;cont;8259110.817;8160520.967;7950513.243;6780034.371
20;Meat;waste;146963.5429;98589.85005;210007.7246;1170478.872
21;Sugar & Alcohol;cont;14252055.35;13666456.69;13367706.44;12362543.02
22;Sugar & Alcohol;waste;12632.0245;585598.6523;298750.258;1005163.417
