;chain_type;flow;storage_transport;processing;distribution;consumption
1;Cereals;cont;12121120.88;11682550.17;11088392.76;8518749.239
2;Cereals;waste;356884.6441;438570.7102;594157.4077;2569643.521
3;Potatoes & roots;cont;2694994.401;2581033.145;2442679.078;1835937.336
4;Potatoes & roots;waste;165438.2571;113961.2556;138354.0674;606741.7418
5;Vegetables;cont;17528095.6;16991190.97;15710673.96;12591794.04
6;Vegetables;waste;874764.7975;536904.6351;1280517.008;3118879.917
7;Fruits;cont;10500697.54;9975674.076;9041334.252;7343749.344
8;Fruits;waste;742389.1645;525023.4619;934339.8237;1697584.908
9;Pulses, beans & nuts;cont;3355694.952;3159724.766;3119483.984;3013673.313
10;Pulses, beans & nuts;waste;76460.12783;195970.1858;40240.78204;105810.6707
11;Vegetable oils;cont;1995939.798;1949438.762;1928298.942;1725781.096
12;Vegetable oils;waste;13532.59852;46501.03572;21139.82006;202517.8461
13;Milk & products;cont;10792497.62;10639149.38;10493279.34;9179686.68
14;Milk & products;waste;67410.40164;153348.2327;145870.0412;1313592.662
15;Eggs;cont;973937.573;948176.0722;931998.0901;812569.9422
16;Eggs;waste;35590.37703;25761.50078;16177.98205;119428.1479
17;Fish;cont;0;0;0;0
18;Fish;waste;0;0;0;0
19;Meat;cont;0;0;0;0
20;Meat;waste;0;0;0;0
21;Sugar & Alcohol;cont;5837818.396;5595802.696;5476037.732;5071959.745
22;Sugar & Alcohol;waste;4970.404708;242015.7;119764.9633;404077.9878
