;chain_type;flow;storage_transport;processing;distribution;consumption
1;Cereals;cont;11434265.32;11020546.66;10460057.79;8036025.71
2;Cereals;waste;336661.4154;413718.658;560488.8781;2424032.075
3;Potatoes & roots;cont;2542279.821;2434776.295;2304262.201;1731902.093
4;Potatoes & roots;waste;156063.5312;107503.5259;130514.0944;572360.1082
5;Vegetables;cont;16534848.36;16028367.97;14820412.75;11878267.31
6;Vegetables;waste;825195.3667;506480.3917;1207955.218;2942145.436
7;Fruits;cont;9905664.906;9410392.429;8528997.915;6927608.37
8;Fruits;waste;700320.9326;495272.4772;881394.5139;1601389.545
9;Pulses, beans & nuts;cont;3165541.109;2980675.771;2942715.274;2842900.472
10;Pulses, beans & nuts;waste;72127.43747;184865.3373;37960.49749;99814.8022
11;Vegetable oils;cont;1882837.853;1838971.846;1819029.935;1627987.967
12;Vegetable oils;waste;12765.76016;43866.00756;19941.91081;191041.9678
13;Milk & products;cont;10180929.84;10036271.24;9898667.069;8659510.462
14;Milk & products;waste;63590.52315;144658.6002;137604.1679;1239156.607
15;Eggs;cont;973937.573;948176.0722;931998.0901;812569.9422
16;Eggs;waste;35590.37703;25761.50078;16177.98205;119428.1479
17;Fish;cont;1295836.122;1210614.325;1087745.177;969865.1718
18;Fish;waste;34037.06634;85221.79698;122869.148;117880.0051
19;Meat;cont;2025836.756;1995496.973;1941787.744;1662626.009
20;Meat;waste;38159.97146;30339.78332;53709.22894;279161.7347
21;Sugar & Alcohol;cont;5755836.005;5514987.253;5399613.64;5009160.74
22;Sugar & Alcohol;waste;4688.751706;240848.7515;115373.6131;390452.8998
